comp,ivar,ipft,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,varname,pft,var,dim,alg
biomass,2,3,0.963712417494259,23.673252353792556,0.9728404874895668,8.65226096941846e-06,0.030475865815292238,0.190492998574071,inf,0.0004428346956602945,0.002264448282011988,0.9972927170223277,biomass_02,PFT03,SapAB,pft,BaggingRegressor
biomass,2,4,0.9550753221064591,9.691186784657866,0.9981911481875712,1.0711654242618255e-05,0.02621694595533237,0.2119544240952308,inf,0.0038886776329378854,0.009226212995105926,0.9868851093719562,biomass_02,PFT04,SapAB,pft,BaggingRegressor
biomass,2,5,0.9800869455717344,15.009669665701278,0.9734167975623557,4.747986272833971e-06,0.015604249135431158,0.14111362240501685,inf,0.00017764467112731653,0.014121432257718199,0.9857009230711544,biomass_02,PFT05,SapAB,pft,BaggingRegressor
biomass,2,6,0.9758632256687614,17.472861183483072,0.9812355951120078,5.755072563480823e-06,0.02080839687267309,0.15536014395989267,inf,0.001317943148842886,0.001879076488288777,0.9968029803628684,biomass_02,PFT06,SapAB,pft,BaggingRegressor
biomass,2,7,0.9645220807636851,6.376251879588618,0.9544932959543455,8.459208210852386e-06,0.02110101985436922,0.18835583143697704,inf,0.0004964876910570797,0.022372837830575587,0.9771306744783672,biomass_02,PFT07,SapAB,pft,BaggingRegressor
biomass,2,8,0.9753711032279218,4.884457658043119,0.9756021670307902,5.872412201258535e-06,0.019287012687339955,0.15693596392184392,inf,0.0006061488455797927,0.006008525242017673,0.9933853259124025,biomass_02,PFT08,SapAB,pft,BaggingRegressor
biomass,2,9,0.9357599176212232,0.7957845014984023,1.0057988604321249,1.531713933685664e-05,0.02855630712243083,0.2534562731099326,inf,0.008791798358579843,0.021257404570727643,0.9699507970706925,biomass_02,PFT09,SapAB,pft,BaggingRegressor
biomass,2,10,0.742358989904522,4.79670893344044,0.9345468825036327,6.143085600750549e-05,0.03335235764119396,0.5075835006139168,inf,0.006101969403537832,0.014318234983248137,0.9795797956132141,biomass_02,PFT10,SapAB,pft,BaggingRegressor
biomass,2,11,0.9285074016339061,19.58557984404984,0.9669492775275624,1.7046399228920802e-05,0.04340081223090914,0.26738099851353286,inf,0.0062596920682106505,8.52510319756742e-05,0.9936550568998137,biomass_02,PFT11,SapAB,pft,BaggingRegressor
biomass,2,12,0.9274982629790033,4.189589632895422,0.9736012493724722,1.7287014072722146e-05,0.019007670912324234,0.2692614659044192,inf,0.0010815719956243969,0.0013152749549320826,0.9976031530494435,biomass_02,PFT12,SapAB,pft,BaggingRegressor
biomass,2,13,0.617797447396657,10.236813586650342,0.4767712754864235,9.113079461214663e-05,0.019232857525596087,0.6182253251067469,inf,0.0005460154908681944,0.46317406885730733,0.5362799156518244,biomass_02,PFT13,SapAB,pft,BaggingRegressor
biomass,2,14,0.6408579653757596,1.5692972254234552,0.5952181353161975,8.563234015837876e-05,0.03192663307243728,0.5992846023587127,inf,0.0006806474992797546,0.1865352774262859,0.8127840750744344,biomass_02,PFT14,SapAB,pft,BaggingRegressor
biomass,2,15,0.4931965510688966,0.31357602697690434,0.5107978200040242,0.00012084011657870848,0.02220200509825212,0.7119012915644299,681.3266880806726,0.0007104640819901969,0.1474203666863338,0.8518691692316759,biomass_02,PFT15,SapAB,pft,BaggingRegressor
biomass,3,2,0.9901235653161632,5.145934810472248,0.982453604786984,2.354896205015934e-06,0.02302185669549191,0.09938025298738593,inf,0.00037308313534934297,0.016306485363259883,0.9833204315013908,biomass_03,PFT02,SapBE,pft,BaggingRegressor
biomass,3,3,0.9637367344275842,5.973569766130132,0.9730039934198748,8.646462940490158e-06,0.030485061991761517,0.19042916155992423,inf,0.00041868188221734287,0.0021900381796476588,0.9973912799381349,biomass_03,PFT03,SapBE,pft,BaggingRegressor
biomass,3,4,0.9604653677490907,2.3054732892216636,0.9992647928012792,9.426474070316934e-06,0.024876775356799687,0.19883317693712288,inf,0.003696954228061117,0.008923503474257528,0.9873795422976812,biomass_03,PFT04,SapBE,pft,BaggingRegressor
biomass,3,5,0.9810090283200185,3.6759200730964636,0.9765829381667518,4.528128679060941e-06,0.015265225153176614,0.13780773447082567,inf,0.00034298768460644646,0.010354864612809598,0.989302147702584,biomass_03,PFT05,SapBE,pft,BaggingRegressor
biomass,3,6,0.979766245324158,4.088595590733917,0.9707598021506711,4.824452712408679e-06,0.019459308746336203,0.14224540300425176,inf,0.00030708515218684957,0.018433995647884772,0.9812589191999282,biomass_03,PFT06,SapBE,pft,BaggingRegressor
biomass,3,7,0.9665772939691099,1.5632308857412565,0.9540335237726341,7.969171681185064e-06,0.02064424869674147,0.18281877920741665,inf,0.00031812217703396957,0.02639465750548131,0.9732872203174848,biomass_03,PFT07,SapBE,pft,BaggingRegressor
biomass,3,8,0.9776000695980286,1.1798406403692898,0.9813136993040922,5.340946686211579e-06,0.01860182959520127,0.14966606296008245,inf,0.00024372103878571527,0.0025227803024754987,0.9972334986587388,biomass_03,PFT08,SapBE,pft,BaggingRegressor
biomass,3,9,0.9478985594369304,0.18578555539380254,0.9946869789463056,1.2422851827150614e-05,0.02644022454539761,0.22825739979915147,inf,0.005861425058638714,0.007969796109890872,0.9861687788314702,biomass_03,PFT09,SapBE,pft,BaggingRegressor
biomass,3,10,1.0,0.0,1.0,,,,,,,,biomass_03,PFT10,SapBE,pft,NoneType
biomass,3,11,1.0,0.0,1.0,,,,,,,,biomass_03,PFT11,SapBE,pft,NoneType
biomass,3,12,1.0,0.0,1.0,,,,,,,,biomass_03,PFT12,SapBE,pft,NoneType
biomass,3,13,1.0,0.0,1.0,,,,,,,,biomass_03,PFT13,SapBE,pft,NoneType
biomass,3,14,1.0,0.0,1.0,,,,,,,,biomass_03,PFT14,SapBE,pft,NoneType
biomass,3,15,1.0,0.0,1.0,,,,,,,,biomass_03,PFT15,SapBE,pft,NoneType
biomass,4,2,0.9825181445920713,403.97060845175974,0.9795554787749209,4.168301241756958e-06,0.030736711694770533,0.13221896765566085,inf,0.0004209306171606226,0.007933294806297958,0.9916457745765415,biomass_04,PFT02,HeartAB,pft,BaggingRegressor
biomass,4,3,0.9588879649382007,379.0664306425665,0.9554682316388592,9.802583467286418e-06,0.031249652293055645,0.20276102944550078,inf,5.1322081524178177e-05,0.014329105329988896,0.9856195725884871,biomass_04,PFT03,HeartAB,pft,BaggingRegressor
biomass,4,4,0.9314291032474767,213.54988516587784,0.956496101331089,1.6349760789824326e-05,0.029098917802372105,0.2618604528227262,inf,0.002354526875187974,0.0012729641594451467,0.996372508965367,biomass_04,PFT04,HeartAB,pft,BaggingRegressor
biomass,4,5,0.9670235515236746,368.6903538891166,0.9592542728060687,7.862767877044699e-06,0.019049029465847297,0.1815941862404341,inf,3.644571014809474e-05,0.018291191296247053,0.981672362993605,biomass_04,PFT05,HeartAB,pft,BaggingRegressor
biomass,4,6,0.941963271038726,466.65596505910173,0.9650919795873284,1.3838037425196463e-05,0.02893301662750407,0.24090813386283572,inf,0.0035197946267283894,0.0006223359445593953,0.9958578694287121,biomass_04,PFT06,HeartAB,pft,BaggingRegressor
biomass,4,7,0.8560587880489618,410.8817108444592,0.8545578009355749,3.43207467694416e-05,0.03645955946387905,0.37939585125701897,inf,0.00036224050939070854,0.04056955661438757,0.9590682028762216,biomass_04,PFT07,HeartAB,pft,BaggingRegressor
biomass,4,8,0.9098856975893714,292.8059637114384,0.9062564444878728,2.148648126147559e-05,0.03273419470451884,0.30019044356979224,inf,2.61928760364414e-05,0.027669686413059294,0.9723041207109042,biomass_04,PFT08,HeartAB,pft,BaggingRegressor
biomass,4,9,0.7592344719634235,45.829553069732476,0.9704210566088526,5.7407135917161756e-05,0.05668030339310335,0.49067864028972813,inf,0.010484011572596104,0.03061596319281625,0.9589000252345877,biomass_04,PFT09,HeartAB,pft,BaggingRegressor
biomass,4,10,1.0,0.0,1.0,,,,,,,,biomass_04,PFT10,HeartAB,pft,NoneType
biomass,4,11,1.0,0.0,1.0,,,,,,,,biomass_04,PFT11,HeartAB,pft,NoneType
biomass,4,12,1.0,0.0,1.0,,,,,,,,biomass_04,PFT12,HeartAB,pft,NoneType
biomass,4,13,1.0,0.0,1.0,,,,,,,,biomass_04,PFT13,HeartAB,pft,NoneType
biomass,4,14,1.0,0.0,1.0,,,,,,,,biomass_04,PFT14,HeartAB,pft,NoneType
biomass,4,15,1.0,0.0,1.0,,,,,,,,biomass_04,PFT15,HeartAB,pft,NoneType
biomass,5,2,0.9826044068073269,102.09523329373475,0.980324284080265,4.147733236212009e-06,0.030778199658883676,0.13189235456489948,inf,0.0004635808449096972,0.007010176726394115,0.9925262424286961,biomass_05,PFT02,HeartBE,pft,BaggingRegressor
biomass,5,3,0.9596270387101867,95.31035561198935,0.9563003938587087,9.626361776302638e-06,0.031109836309117334,0.20093023985904482,inf,5.0007226901497277e-05,0.014026987772580882,0.9859230050005174,biomass_05,PFT03,HeartBE,pft,BaggingRegressor
biomass,5,4,0.9628586589980639,44.67600237908059,0.9825104848880041,8.855827611334313e-06,0.023227054178050998,0.19272088885726973,inf,0.0023642309628089096,2.893738044941848e-05,0.9976068316567417,biomass_05,PFT04,HeartBE,pft,BaggingRegressor
biomass,5,5,0.9742250257122277,84.36154054530458,0.9727667697223484,6.145678180203223e-06,0.01736835826665141,0.1605458635025279,inf,0.0006026602966234897,0.008109980936035295,0.9912873587673412,biomass_05,PFT05,HeartBE,pft,BaggingRegressor
